Unnamed: 0.1,Unnamed: 0,name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,movie_id,clean_title,imdb_id,description
659,53,The Devil's Advocate,1997,R,2h 24min,Drama; Mystery; Thriller; ,17 October 1997 (USA),7.5,319323,473,https://www.imdb.com/title/tt0118971/reviews/_ajax?ref_=undefined&paginationKey=,659,the devil's advocate,tt0118971,An exceptionally adept Florida lawyer is offered a job at a high-end New York City law firm with a high-end boss - the biggest opportunity of his career to date.
660,55,Mulholland Drive,2001,R,2h 27min,Drama; Mystery; Thriller; ,19 October 2001 (USA),8.0,309859,1922,https://www.imdb.com/title/tt0166924/reviews/_ajax?ref_=undefined&paginationKey=,660,mulholland drive,tt0166924,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
661,56,National Treasure,2004,PG,2h 11min,Action; Adventure; Mystery; ,19 November 2004 (USA),6.9,297865,741,https://www.imdb.com/title/tt0368891/reviews/_ajax?ref_=undefined&paginationKey=,661,national treasure,tt0368891,A historian races to find the legendary Templar Treasure before a team of mercenaries.
662,57,Lucky Number Slevin,2006,R,1h 50min,Crime; Drama; Mystery; ,7 April 2006 (USA),7.7,295883,548,https://www.imdb.com/title/tt0425210/reviews/_ajax?ref_=undefined&paginationKey=,662,lucky number slevin,tt0425210,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him."
663,58,Eyes Wide Shut,1999,R,2h 39min,Drama; Mystery; Thriller; ,16 July 1999 (USA),7.4,291877,1626,https://www.imdb.com/title/tt0120663/reviews/_ajax?ref_=undefined&paginationKey=,663,eyes wide shut,tt0120663,"A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing."
664,59,Salt,2010,PG-13,1h 40min,Action; Mystery; Thriller; ,23 July 2010 (USA),6.4,289816,580,https://www.imdb.com/title/tt0944835/reviews/_ajax?ref_=undefined&paginationKey=,664,salt,tt0944835,A CIA agent goes on the run after a defector accuses her of being a Russian spy.
665,60,North by Northwest,1959,Approved,2h 16min,Adventure; Mystery; Thriller; ,26 September 1959 (Japan),8.3,289249,602,https://www.imdb.com/title/tt0053125/reviews/_ajax?ref_=undefined&paginationKey=,665,north by northwest,tt0053125,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
666,61,Chinatown,1974,R,2h 10min,Drama; Mystery; Thriller; ,20 June 1974 (USA),8.2,284178,536,https://www.imdb.com/title/tt0071315/reviews/_ajax?ref_=undefined&paginationKey=,666,chinatown,tt0071315,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
667,65,Insomnia,2002,R,1h 58min,Drama; Mystery; Thriller; ,24 May 2002 (USA),7.2,266499,686,https://www.imdb.com/title/tt0278504/reviews/_ajax?ref_=undefined&paginationKey=,667,insomnia,tt0278504,"Will Dormer, a police detective, is sent to investigate a teenage girl's murder to a small fishing town where he accidentally shoots his co-detective and is afflicted by insomnia brought by the guilt."
668,66,Angels & Demons,2009,PG-13,2h 18min,Action; Mystery; Thriller; ,15 May 2009 (USA),6.7,266342,494,https://www.imdb.com/title/tt0808151/reviews/_ajax?ref_=undefined&paginationKey=,668,angels & demons,tt0808151,Harvard symbologist Robert Langdon works with a nuclear physicist to solve a murder and prevent a terrorist act against the Vatican during one of the significant events within the church.
669,68,Contact,1997,PG,2h 30min,Drama; Mystery; Sci-Fi; ,11 July 1997 (USA),7.4,247426,698,https://www.imdb.com/title/tt0118884/reviews/_ajax?ref_=undefined&paginationKey=,669,contact,tt0118884,"Dr. Ellie Arroway, after years of searching, finds conclusive radio proof of extraterrestrial intelligence, sending plans for a mysterious machine."
670,69,Non-Stop,2014,PG-13,1h 46min,Action; Mystery; Thriller; ,28 February 2014 (USA),6.9,245364,449,https://www.imdb.com/title/tt2024469/reviews/_ajax?ref_=undefined&paginationKey=,670,non-stop,tt2024469,"An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes."
